# CORPUS CÂU MIX — sinh bằng scripts/voice/gen-mix.py (đừng sửa tay: sửa CLAUSES trong script).
# Cột: ids(phẩy, đúng thứ tự) | text
win_lf,win_rf	hạ kính trước trái rồi mở kính trước phải
win_lf,win_lr	hạ kính lái sau đó mở kính sau trái
win_lf,win_rr	mở kính bên lái và mở kính sau phải
win_lf,windows_all	mở kính bên lái, đóng hết kính
win_lf,ac_auto	mở kính trước trái tắt máy lạnh
win_lf,recirc	hạ kiếng trái lấy gió trong
win_lf,readl	mở kính trước trái, bật đèn đọc
win_lf,pm25	hạ kiếng trái sau đó bật lọc bụi
win_lf,defrost	mở kính bên lái bật sấy kính
win_lf,defrost_rear	mở kính bên lái, bật sấy kính sau
win_lf,trunk	mở kính bên lái đóng cốp
win_lf,sunroof	mở kính trước trái, mở cửa sổ trời
win_lf,cam	mở kính trước trái rồi mở camera
win_lf,temp	mở kính trước trái, đặt nhiệt độ 24 độ
win_lf,fan	hạ kính trước trái tăng gió
win_lf,headl	mở kính bên lái và bật đèn pha
win_lf,drl	hạ kính lái, bật đèn ban ngày
win_lf,win_half_lf	hạ kính lái rồi mở nửa kính lái
win_rf,win_lr	hạ kiếng phải sau đó mở kính sau trái
win_rf,win_rr	hạ kính phụ, mở kính sau phải
win_rf,windows_all	hạ kính phụ và mở tất cả kính
win_rf,ac_auto	mở kính trước phải xong tắt điều hoà
win_rf,recirc	mở kính trước phải, lấy gió ngoài
win_rf,readl	hạ kính phụ rồi bật đèn trần
win_rf,pm25	hạ kính phụ rồi bật lọc không khí
win_rf,defrost	hạ kính phụ bật sấy kính trước
win_rf,defrost_rear	mở kính trước phải bật sấy kính sau
win_rf,trunk	hạ kính phụ rồi mở cốp
win_rf,sunroof	hạ kính phụ xong mở cửa sổ trời
win_rf,cam	mở kính trước phải và mở camera
win_rf,temp	hạ kiếng phải, chỉnh nhiệt độ 22 độ
win_rf,fan	hạ kính phụ giảm gió
win_rf,headl	mở kính trước phải rồi tắt đèn pha
win_rf,drl	hạ kiếng phải bật đèn ban ngày
win_rf,win_half_lf	hạ kiếng phải xong mở nửa kính lái
win_lr,win_rr	mở kính sau trái xong mở kính sau phải
win_lr,windows_all	mở kính sau trái và hạ hết kính
win_lr,ac_auto	mở kính sau trái và bật máy lạnh
win_lr,recirc	mở kính sau trái chuyển gió ngoài
win_lr,readl	mở kính sau trái bật đèn đọc
win_lr,pm25	mở kính sau trái xong bật lọc bụi
win_lr,defrost	mở kính sau trái rồi tắt sấy kính
win_lr,defrost_rear	mở kính sau trái bật sấy kính sau
win_lr,trunk	mở kính sau trái, đóng cốp
win_lr,sunroof	mở kính sau trái sau đó mở cửa sổ trời
win_lr,cam	mở kính sau trái xong mở camera
win_lr,temp	mở kính sau trái xong chỉnh nhiệt độ 22 độ
win_lr,fan	mở kính sau trái tăng gió
win_lr,headl	mở kính sau trái bật đèn pha
win_lr,drl	mở kính sau trái bật đèn ban ngày
win_lr,win_half_lf	mở kính sau trái và mở nửa kính lái
win_rr,windows_all	mở kính sau phải đóng hết kính
win_rr,ac_auto	mở kính sau phải và tắt máy nạnh
win_rr,recirc	mở kính sau phải xong lấy gió ngoài
win_rr,readl	mở kính sau phải sau đó tắt đèn đọc
win_rr,pm25	mở kính sau phải rồi tắt lọc bụi
win_rr,defrost	mở kính sau phải rồi bật sấy kính
win_rr,defrost_rear	mở kính sau phải bật sấy kính sau
win_rr,trunk	mở kính sau phải rồi mở cốp
win_rr,sunroof	mở kính sau phải và mở cửa sổ trời
win_rr,cam	mở kính sau phải bật camera 360
win_rr,temp	mở kính sau phải và đặt nhiệt độ 24 độ
win_rr,fan	mở kính sau phải sau đó tăng gió
win_rr,headl	mở kính sau phải tắt đèn pha
win_rr,drl	mở kính sau phải, bật đèn ban ngày
win_rr,win_half_lf	mở kính sau phải mở nửa kính lái
windows_all,ac_auto	đóng hết kính rồi bật máy lạnh
windows_all,recirc	mở tất cả kính và lấy gió trong
windows_all,readl	đóng hết kính bật đèn đọc
windows_all,pm25	hạ hết kính xong tắt lọc bụi
windows_all,defrost	mở tất cả kính sau đó tắt sấy kính
windows_all,defrost_rear	hạ hết kính, bật sấy kính sau
windows_all,trunk	đóng hết kính, mở cốp
windows_all,sunroof	mở tất cả kính xong mở cửa sổ trời
windows_all,cam	hạ hết kính sau đó bật camera 360
windows_all,temp	hạ hết kính xong chỉnh nhiệt độ 22 độ
windows_all,fan	đóng hết kính, giảm gió
windows_all,headl	mở tất cả kính và bật đèn pha
windows_all,drl	đóng hết kính xong bật đèn ban ngày
windows_all,win_half_lf	đóng hết kính sau đó mở nửa kính lái
ac_auto,recirc	tắt điều hoà xong lấy gió trong
ac_auto,readl	tắt điều hoà, bật đèn đọc
ac_auto,pm25	bật máy lạnh xong tắt lọc bụi
ac_auto,defrost	tắt máy lạnh sau đó bật sấy kính
ac_auto,defrost_rear	bật điều hoà và bật sấy kính sau
ac_auto,trunk	tắt điều hoà, mở cốp sau
ac_auto,sunroof	bật điều hoà sau đó đóng cửa sổ trời
ac_auto,cam	bật điều hoà mở camera
ac_auto,temp	tắt điều hoà đặt nhiệt độ 24 độ
ac_auto,fan	bật máy lạnh và tăng gió
ac_auto,headl	tắt điều hoà, tắt đèn pha
ac_auto,drl	tắt máy nạnh rồi bật đèn ban ngày
ac_auto,win_half_lf	bật điều hoà sau đó mở nửa kính lái
